	
0.184	-0.229675293		
0.188	-0.229003906		
0.192	-0.22833252		
0.196	-0.227844238		
0.2	-0.227355957		
0.204	-0.226806641		
0.208	-0.226257324		
0.212	-0.225402832		
0.216	-0.224304199		
0.22	-0.222961426		
0.224	-0.221496582		
0.228	-0.220275879		
0.232	-0.219299316		
0.236	-0.218688965		
0.24	-0.218322754		
0.244	-0.217956543		
0.248	-0.217346191		
0.252	-0.216186523		
0.256	-0.21472168		
0.26	-0.213256836		
0.264	-0.211669922		
0.268	-0.210266113		
0.272	-0.208984375		
0.276	-0.207702637		
0.28	-0.206542969		
0.284	-0.205627441		
0.288	-0.205078125		
0.292	-0.204772949		
0.296	-0.204528809		
0.3	-0.204101563		
0.304	-0.20324707		
0.308	-0.202209473		
0.312	-0.201171875		
0.316	-0.200195313		
0.32	-0.19921875		
0.324	-0.198059082		
0.328	-0.196716309		
0.332	-0.194519043		
0.336	-0.190979004		
0.34	-0.18572998		
0.344	-0.178100586		
0.348	-0.167114258		
0.352	-0.151672363		
0.356	-0.130981445		
0.36	-0.104187012		
0.364	-0.071350098		
0.368	-0.033569336		
0.372	0.00793457		
0.376	0.051635742		
0.38	0.095947266		
0.384	0.140014648		
0.388	0.182861328		
0.392	0.224182129		
0.396	0.263366699		
0.4	0.300048828		
0.404	0.334228516		
0.408	0.365539551		
0.412	0.394042969		
0.416	0.419616699		
0.42	0.442382813		
0.424	0.462524414		
0.428	0.480102539		
0.432	0.495361328		
0.436	0.508239746		
0.44	0.518920898		
0.444	0.527648926		
0.448	0.534484863		
0.452	0.539672852		
0.456	0.543395996		
0.46	0.545410156		
0.464	0.545898438		
0.468	0.54498291		
0.472	0.542724609		
0.476	0.539306641		
0.48	0.534851074		
0.484	0.52923584		
0.488	0.522521973		
0.492	0.514892578		
0.496	0.505981445		
0.5	0.495727539		
0.504	0.484069824		
0.508	0.47088623		
0.512	0.456237793		
0.516	0.440124512		
0.52	0.422851563		
0.524	0.404296875		
0.528	0.384277344		
0.532	0.362609863		
0.536	0.339111328		
0.54	0.313537598		
0.544	0.285827637		
0.548	0.256347656		
0.552	0.225402832		
